##lon lat depth strike dip slip mag 0 0
-87.75 89.28378410380506 7.0 238.5 89.28378410380506 -87.75 4.6 0 0
-87.75 87.85090437313598 7.0 238.5 87.85090437313598 -87.75 4.6 0 0
-87.75 86.41667830152802 7.0 238.5 86.41667830152802 -87.75 4.6 0 0
-87.75 84.98019986832188 7.0 229.5 84.98019986832188 -87.75 4.6 0 0
-87.75 83.54055022264492 7.0 229.5 83.54055022264492 -87.75 4.6 0 0
-87.75 82.09679226651541 7.0 229.5 82.09679226651541 -87.75 4.6 0 0
-87.75 80.64796494243684 7.0 220.5 80.64796494243684 -87.75 4.6 0 0
-87.75 79.19307712513965 7.0 220.5 79.19307712513965 -87.75 4.6 0 0
-87.75 77.73110100404344 7.0 220.5 77.73110100404344 -87.75 4.6 0 0
-87.75 76.26096482563027 7.0 220.5 76.26096482563027 -87.75 4.6 0 0
-87.75 74.7815448422298 7.0 220.5 74.7815448422298 -87.75 4.6 0 0
-87.75 73.29165628434475 7.0 220.5 73.29165628434475 -87.75 4.6 0 0
-87.75 71.790043135717 7.0 220.5 71.790043135717 -87.75 4.6 0 0
-87.75 70.27536644129832 7.0 220.5 70.27536644129832 -87.75 4.6 0 0
-87.75 68.74619081464031 7.0 220.5 68.74619081464031 -87.75 4.6 0 0
-87.75 67.20096872811118 7.0 220.5 67.20096872811118 -87.75 4.6 0 0
-87.75 65.63802206002008 7.0 220.5 65.63802206002008 -87.75 4.6 0 0
-87.75 64.05552022763 7.0 220.5 64.05552022763 -87.75 4.6 0 0
-87.75 62.45145404051587 7.0 220.5 62.45145404051587 -87.75 4.6 0 0
-87.75 60.82360414498552 7.0 220.5 60.82360414498552 -87.75 4.6 0 0
-87.75 59.169502568212096 7.0 40.5 59.169502568212096 -87.75 4.6 0 0
-87.75 57.48638536677864 7.0 40.5 57.48638536677864 -87.75 4.6 0 0
-87.75 55.771133672187425 7.0 40.5 55.771133672187425 -87.75 4.6 0 0
-87.75 54.020199402525776 7.0 40.5 54.020199402525776 -87.75 4.6 0 0
-87.75 52.22951041136422 7.0 40.5 52.22951041136422 -87.75 4.6 0 0
-87.75 50.39434760613205 7.0 40.5 50.39434760613205 -87.75 4.6 0 0
-87.75 48.50918314434817 7.0 40.5 48.50918314434817 -87.75 4.6 0 0
-87.75 46.56746344221023 7.0 40.5 46.56746344221023 -87.75 4.6 0 0
-87.75 44.561312043575526 7.0 40.5 44.561312043575526 -87.75 4.6 0 0
-87.75 42.48111287543235 7.0 40.5 42.48111287543235 -87.75 4.6 0 0
-87.75 40.31490917470875 7.0 40.5 40.31490917470875 -87.75 4.6 0 0
-87.75 38.04750745361985 7.0 40.5 38.04750745361985 -87.75 4.6 0 0
-87.75 35.659087696138755 7.0 40.5 35.659087696138755 -87.75 4.6 0 0
-87.75 33.12294020774379 7.0 40.5 33.12294020774379 -87.75 4.6 0 0
-87.75 30.401547663243015 7.0 49.5 30.401547663243015 -87.75 4.6 0 0
-87.75 27.439240150681094 7.0 49.5 27.439240150681094 -87.75 4.6 0 0
-87.75 24.146847996502373 7.0 49.5 24.146847996502373 -87.75 4.6 0 0
-87.75 20.364134806317807 7.0 58.5 20.364134806317807 -87.75 4.6 0 0
-87.75 15.740548525168737 7.0 58.5 15.740548525168737 -87.75 4.6 0 0
-87.75 9.06872154603269 7.0 58.5 9.06872154603269 -87.75 4.6 0 0
-83.25 89.28378410380506 7.0 238.5 89.28378410380506 -83.25 4.6 0 0
-83.25 87.85090437313598 7.0 238.5 87.85090437313598 -83.25 4.6 0 0
-83.25 86.41667830152802 7.0 229.5 86.41667830152802 -83.25 4.6 0 0
-83.25 84.98019986832188 7.0 229.5 84.98019986832188 -83.25 4.6 0 0
-83.25 83.54055022264492 7.0 229.5 83.54055022264492 -83.25 4.6 0 0
-83.25 82.09679226651541 7.0 229.5 82.09679226651541 -83.25 4.6 0 0
-83.25 80.64796494243684 7.0 220.5 80.64796494243684 -83.25 4.6 0 0
-83.25 79.19307712513965 7.0 220.5 79.19307712513965 -83.25 4.6 0 0
-83.25 77.73110100404344 7.0 220.5 77.73110100404344 -83.25 4.6 0 0
-83.25 76.26096482563027 7.0 220.5 76.26096482563027 -83.25 4.6 0 0
-83.25 74.7815448422298 7.0 220.5 74.7815448422298 -83.25 4.6 0 0
-83.25 73.29165628434475 7.0 220.5 73.29165628434475 -83.25 4.6 0 0
-83.25 71.790043135717 7.0 220.5 71.790043135717 -83.25 4.6 0 0
-83.25 70.27536644129832 7.0 220.5 70.27536644129832 -83.25 4.6 0 0
-83.25 68.74619081464031 7.0 220.5 68.74619081464031 -83.25 4.6 0 0
-83.25 67.20096872811118 7.0 220.5 67.20096872811118 -83.25 4.6 0 0
-83.25 65.63802206002008 7.0 220.5 65.63802206002008 -83.25 4.6 0 0
-83.25 64.05552022763 7.0 220.5 64.05552022763 -83.25 4.6 0 0
-83.25 62.45145404051587 7.0 220.5 62.45145404051587 -83.25 4.6 0 0
-83.25 60.82360414498552 7.0 220.5 60.82360414498552 -83.25 4.6 0 0
-83.25 59.169502568212096 7.0 220.5 59.169502568212096 -83.25 4.6 0 0
-83.25 57.48638536677864 7.0 40.5 57.48638536677864 -83.25 4.6 0 0
-83.25 55.771133672187425 7.0 40.5 55.771133672187425 -83.25 4.6 0 0
-83.25 54.020199402525776 7.0 40.5 54.020199402525776 -83.25 4.6 0 0
-83.25 52.22951041136422 7.0 40.5 52.22951041136422 -83.25 4.6 0 0
-83.25 50.39434760613205 7.0 40.5 50.39434760613205 -83.25 4.6 0 0
