##lon lat depth strike dip slip mag 0 0
-83.25 301.5 7.0 301.5 89.28378410380506 -83.25 4.6 0 0
-83.25 310.5 7.0 310.5 89.28378410380506 -83.25 4.6 0 0
-83.25 319.5 7.0 319.5 89.28378410380506 -83.25 4.6 0 0
-83.25 328.5 7.0 328.5 89.28378410380506 -83.25 4.6 0 0
-83.25 337.5 7.0 337.5 89.28378410380506 -83.25 4.6 0 0
-83.25 346.5 7.0 346.5 89.28378410380506 -83.25 4.6 0 0
-83.25 355.5 7.0 355.5 89.28378410380506 -83.25 4.6 0 0
-78.75 4.5 7.0 4.5 9.06872154603269 -78.75 4.6 0 0
-78.75 13.5 7.0 13.5 9.06872154603269 -78.75 4.6 0 0
-78.75 22.5 7.0 22.5 9.06872154603269 -78.75 4.6 0 0
-78.75 31.5 7.0 31.5 9.06872154603269 -78.75 4.6 0 0
-78.75 40.5 7.0 40.5 9.06872154603269 -78.75 4.6 0 0
-78.75 49.5 7.0 49.5 57.48638536677864 -78.75 4.6 0 0
-78.75 58.5 7.0 58.5 59.169502568212096 -78.75 4.6 0 0
-78.75 67.5 7.0 67.5 62.45145404051587 -78.75 4.6 0 0
-78.75 76.5 7.0 76.5 89.28378410380506 -78.75 4.6 0 0
-78.75 85.5 7.0 85.5 89.28378410380506 -78.75 4.6 0 0
-78.75 94.5 7.0 94.5 89.28378410380506 -78.75 4.6 0 0
-78.75 103.5 7.0 103.5 89.28378410380506 -78.75 4.6 0 0
-78.75 112.5 7.0 112.5 89.28378410380506 -78.75 4.6 0 0
-78.75 121.5 7.0 121.5 89.28378410380506 -78.75 4.6 0 0
-78.75 130.5 7.0 130.5 89.28378410380506 -78.75 4.6 0 0
-78.75 139.5 7.0 139.5 89.28378410380506 -78.75 4.6 0 0
-78.75 148.5 7.0 148.5 89.28378410380506 -78.75 4.6 0 0
-78.75 157.5 7.0 157.5 89.28378410380506 -78.75 4.6 0 0
-78.75 166.5 7.0 166.5 89.28378410380506 -78.75 4.6 0 0
-78.75 175.5 7.0 175.5 89.28378410380506 -78.75 4.6 0 0
-78.75 184.5 7.0 184.5 89.28378410380506 -78.75 4.6 0 0
-78.75 193.5 7.0 193.5 89.28378410380506 -78.75 4.6 0 0
-78.75 202.5 7.0 202.5 89.28378410380506 -78.75 4.6 0 0
-78.75 211.5 7.0 211.5 89.28378410380506 -78.75 4.6 0 0
-78.75 220.5 7.0 220.5 89.28378410380506 -78.75 4.6 0 0
-78.75 229.5 7.0 229.5 89.28378410380506 -78.75 4.6 0 0
-78.75 238.5 7.0 238.5 89.28378410380506 -78.75 4.6 0 0
-78.75 247.5 7.0 247.5 89.28378410380506 -78.75 4.6 0 0
-78.75 256.5 7.0 256.5 89.28378410380506 -78.75 4.6 0 0
-78.75 265.5 7.0 265.5 89.28378410380506 -78.75 4.6 0 0
-78.75 274.5 7.0 274.5 89.28378410380506 -78.75 4.6 0 0
-78.75 283.5 7.0 283.5 89.28378410380506 -78.75 4.6 0 0
-78.75 292.5 7.0 292.5 89.28378410380506 -78.75 4.6 0 0
-78.75 301.5 7.0 301.5 89.28378410380506 -78.75 4.6 0 0
-78.75 310.5 7.0 310.5 89.28378410380506 -78.75 4.6 0 0
-78.75 319.5 7.0 319.5 89.28378410380506 -78.75 4.6 0 0
-78.75 328.5 7.0 328.5 89.28378410380506 -78.75 4.6 0 0
-78.75 337.5 7.0 337.5 89.28378410380506 -78.75 4.6 0 0
-78.75 346.5 7.0 346.5 89.28378410380506 -78.75 4.6 0 0
-78.75 355.5 7.0 355.5 89.28378410380506 -78.75 4.6 0 0
-74.25 4.5 7.0 4.5 9.06872154603269 -74.25 4.6 0 0
-74.25 13.5 7.0 13.5 9.06872154603269 -74.25 4.6 0 0
-74.25 22.5 7.0 22.5 9.06872154603269 -74.25 4.6 0 0
-74.25 31.5 7.0 31.5 9.06872154603269 -74.25 4.6 0 0
-74.25 40.5 7.0 40.5 9.06872154603269 -74.25 4.6 0 0
-74.25 49.5 7.0 49.5 9.06872154603269 -74.25 4.6 0 0
-74.25 58.5 7.0 58.5 65.63802206002008 -74.25 4.6 0 0
-74.25 67.5 7.0 67.5 89.28378410380506 -74.25 4.6 0 0
-74.25 76.5 7.0 76.5 89.28378410380506 -74.25 4.6 0 0
-74.25 85.5 7.0 85.5 89.28378410380506 -74.25 4.6 0 0
-74.25 94.5 7.0 94.5 89.28378410380506 -74.25 4.6 0 0
-74.25 103.5 7.0 103.5 89.28378410380506 -74.25 4.6 0 0
-74.25 112.5 7.0 112.5 89.28378410380506 -74.25 4.6 0 0
-74.25 121.5 7.0 121.5 89.28378410380506 -74.25 4.6 0 0
-74.25 130.5 7.0 130.5 89.28378410380506 -74.25 4.6 0 0
-74.25 139.5 7.0 139.5 89.28378410380506 -74.25 4.6 0 0
-74.25 148.5 7.0 148.5 89.28378410380506 -74.25 4.6 0 0
-74.25 157.5 7.0 157.5 89.28378410380506 -74.25 4.6 0 0
-74.25 166.5 7.0 166.5 89.28378410380506 -74.25 4.6 0 0
-74.25 175.5 7.0 175.5 89.28378410380506 -74.25 4.6 0 0
-74.25 184.5 7.0 184.5 89.28378410380506 -74.25 4.6 0 0
-74.25 193.5 7.0 193.5 89.28378410380506 -74.25 4.6 0 0
-74.25 202.5 7.0 202.5 89.28378410380506 -74.25 4.6 0 0
-74.25 211.5 7.0 211.5 89.28378410380506 -74.25 4.6 0 0
-74.25 220.5 7.0 220.5 89.28378410380506 -74.25 4.6 0 0
-74.25 229.5 7.0 229.5 89.28378410380506 -74.25 4.6 0 0
-74.25 238.5 7.0 238.5 89.28378410380506 -74.25 4.6 0 0
-74.25 247.5 7.0 247.5 89.28378410380506 -74.25 4.6 0 0
-74.25 256.5 7.0 256.5 89.28378410380506 -74.25 4.6 0 0
-74.25 265.5 7.0 265.5 89.28378410380506 -74.25 4.6 0 0
-74.25 274.5 7.0 274.5 89.28378410380506 -74.25 4.6 0 0
-74.25 283.5 7.0 283.5 89.28378410380506 -74.25 4.6 0 0
-74.25 292.5 7.0 292.5 89.28378410380506 -74.25 4.6 0 0
-74.25 301.5 7.0 301.5 89.28378410380506 -74.25 4.6 0 0
-74.25 310.5 7.0 310.5 89.28378410380506 -74.25 4.6 0 0
-74.25 319.5 7.0 319.5 89.28378410380506 -74.25 4.6 0 0
-74.25 328.5 7.0 328.5 89.28378410380506 -74.25 4.6 0 0
-74.25 337.5 7.0 337.5 89.28378410380506 -74.25 4.6 0 0
-74.25 346.5 7.0 346.5 89.28378410380506 -74.25 4.6 0 0
-74.25 355.5 7.0 355.5 89.28378410380506 -74.25 4.6 0 0
-69.75 4.5 7.0 4.5 9.06872154603269 -69.75 4.6 0 0
-69.75 13.5 7.0 13.5 9.06872154603269 -69.75 4.6 0 0
-69.75 22.5 7.0 22.5 9.06872154603269 -69.75 4.6 0 0
-69.75 31.5 7.0 31.5 9.06872154603269 -69.75 4.6 0 0
-69.75 40.5 7.0 40.5 9.06872154603269 -69.75 4.6 0 0
-69.75 49.5 7.0 49.5 9.06872154603269 -69.75 4.6 0 0
-69.75 58.5 7.0 58.5 9.06872154603269 -69.75 4.6 0 0
-69.75 67.5 7.0 67.5 89.28378410380506 -69.75 4.6 0 0
-69.75 76.5 7.0 76.5 89.28378410380506 -69.75 4.6 0 0
-69.75 85.5 7.0 85.5 89.28378410380506 -69.75 4.6 0 0
-69.75 94.5 7.0 94.5 89.28378410380506 -69.75 4.6 0 0
-69.75 103.5 7.0 103.5 89.28378410380506 -69.75 4.6 0 0
-69.75 112.5 7.0 112.5 89.28378410380506 -69.75 4.6 0 0
-69.75 121.5 7.0 121.5 89.28378410380506 -69.75 4.6 0 0
-69.75 130.5 7.0 130.5 89.28378410380506 -69.75 4.6 0 0
-69.75 139.5 7.0 139.5 89.28378410380506 -69.75 4.6 0 0
-69.75 148.5 7.0 148.5 89.28378410380506 -69.75 4.6 0 0
-69.75 157.5 7.0 157.5 89.28378410380506 -69.75 4.6 0 0
-69.75 166.5 7.0 166.5 89.28378410380506 -69.75 4.6 0 0
-69.75 175.5 7.0 175.5 89.28378410380506 -69.75 4.6 0 0
-69.75 184.5 7.0 184.5 89.28378410380506 -69.75 4.6 0 0
-69.75 193.5 7.0 193.5 89.28378410380506 -69.75 4.6 0 0
-69.75 202.5 7.0 202.5 89.28378410380506 -69.75 4.6 0 0
-69.75 211.5 7.0 211.5 89.28378410380506 -69.75 4.6 0 0
-69.75 220.5 7.0 220.5 86.41667830152802 -69.75 4.6 0 0
-69.75 229.5 7.0 229.5 86.41667830152802 -69.75 4.6 0 0
-69.75 238.5 7.0 238.5 84.98019986832188 -69.75 4.6 0 0
-69.75 247.5 7.0 247.5 84.98019986832188 -69.75 4.6 0 0
-69.75 256.5 7.0 256.5 84.98019986832188 -69.75 4.6 0 0
-69.75 265.5 7.0 265.5 83.54055022264492 -69.75 4.6 0 0
-69.75 274.5 7.0 274.5 83.54055022264492 -69.75 4.6 0 0
-69.75 283.5 7.0 283.5 83.54055022264492 -69.75 4.6 0 0
-69.75 292.5 7.0 292.5 82.09679226651541 -69.75 4.6 0 0
-69.75 301.5 7.0 301.5 82.09679226651541 -69.75 4.6 0 0
-69.75 310.5 7.0 310.5 80.64796494243684 -69.75 4.6 0 0
-69.75 319.5 7.0 319.5 80.64796494243684 -69.75 4.6 0 0
-69.75 328.5 7.0 328.5 84.98019986832188 -69.75 4.6 0 0
-69.75 337.5 7.0 337.5 83.54055022264492 -69.75 4.6 0 0
-69.75 346.5 7.0 346.5 83.54055022264492 -69.75 4.6 0 0
-69.75 355.5 7.0 355.5 82.09679226651541 -69.75 4.6 0 0
-65.25 4.5 7.0 4.5 79.19307712513965 -65.25 4.6 0 0
-65.25 13.5 7.0 13.5 79.19307712513965 -65.25 4.6 0 0
-65.25 22.5 7.0 22.5 9.06872154603269 -65.25 4.6 0 0
-65.25 31.5 7.0 31.5 9.06872154603269 -65.25 4.6 0 0
-65.25 40.5 7.0 40.5 9.06872154603269 -65.25 4.6 0 0
-65.25 49.5 7.0 49.5 9.06872154603269 -65.25 4.6 0 0
-65.25 58.5 7.0 58.5 9.06872154603269 -65.25 4.6 0 0
-65.25 67.5 7.0 67.5 89.28378410380506 -65.25 4.6 0 0
-65.25 76.5 7.0 76.5 89.28378410380506 -65.25 4.6 0 0
-65.25 85.5 7.0 85.5 89.28378410380506 -65.25 4.6 0 0
-65.25 94.5 7.0 94.5 89.28378410380506 -65.25 4.6 0 0
-65.25 103.5 7.0 103.5 89.28378410380506 -65.25 4.6 0 0
-65.25 112.5 7.0 112.5 89.28378410380506 -65.25 4.6 0 0
-65.25 121.5 7.0 121.5 89.28378410380506 -65.25 4.6 0 0
-65.25 130.5 7.0 130.5 89.28378410380506 -65.25 4.6 0 0
-65.25 139.5 7.0 139.5 89.28378410380506 -65.25 4.6 0 0
-65.25 148.5 7.0 148.5 89.28378410380506 -65.25 4.6 0 0
-65.25 157.5 7.0 157.5 89.28378410380506 -65.25 4.6 0 0
-65.25 166.5 7.0 166.5 89.28378410380506 -65.25 4.6 0 0
-65.25 175.5 7.0 175.5 89.28378410380506 -65.25 4.6 0 0
-65.25 184.5 7.0 184.5 89.28378410380506 -65.25 4.6 0 0
-65.25 193.5 7.0 193.5 89.28378410380506 -65.25 4.6 0 0
-65.25 202.5 7.0 202.5 87.85090437313598 -65.25 4.6 0 0
-65.25 211.5 7.0 211.5 86.41667830152802 -65.25 4.6 0 0
-65.25 220.5 7.0 220.5 77.73110100404344 -65.25 4.6 0 0
-65.25 229.5 7.0 229.5 76.26096482563027 -65.25 4.6 0 0
-65.25 238.5 7.0 238.5 74.7815448422298 -65.25 4.6 0 0
-65.25 247.5 7.0 247.5 73.29165628434475 -65.25 4.6 0 0
-65.25 256.5 7.0 256.5 73.29165628434475 -65.25 4.6 0 0
-65.25 265.5 7.0 265.5 71.790043135717 -65.25 4.6 0 0
-65.25 274.5 7.0 274.5 71.790043135717 -65.25 4.6 0 0
-65.25 283.5 7.0 283.5 71.790043135717 -65.25 4.6 0 0
-65.25 292.5 7.0 292.5 71.790043135717 -65.25 4.6 0 0
-65.25 301.5 7.0 301.5 70.27536644129832 -65.25 4.6 0 0
-65.25 310.5 7.0 310.5 70.27536644129832 -65.25 4.6 0 0
-65.25 319.5 7.0 319.5 70.27536644129832 -65.25 4.6 0 0
-65.25 328.5 7.0 328.5 70.27536644129832 -65.25 4.6 0 0
-65.25 337.5 7.0 337.5 68.74619081464031 -65.25 4.6 0 0
-65.25 346.5 7.0 346.5 68.74619081464031 -65.25 4.6 0 0
-65.25 355.5 7.0 355.5 76.26096482563027 -65.25 4.6 0 0
-60.75 4.5 7.0 4.5 60.82360414498552 -60.75 4.6 0 0
-60.75 13.5 7.0 13.5 59.169502568212096 -60.75 4.6 0 0
-60.75 22.5 7.0 22.5 59.169502568212096 -60.75 4.6 0 0
-60.75 31.5 7.0 31.5 59.169502568212096 -60.75 4.6 0 0
-60.75 40.5 7.0 40.5 68.74619081464031 -60.75 4.6 0 0
-60.75 49.5 7.0 49.5 9.06872154603269 -60.75 4.6 0 0
-60.75 58.5 7.0 58.5 9.06872154603269 -60.75 4.6 0 0
-60.75 67.5 7.0 67.5 9.06872154603269 -60.75 4.6 0 0
-60.75 76.5 7.0 76.5 89.28378410380506 -60.75 4.6 0 0
-60.75 85.5 7.0 85.5 89.28378410380506 -60.75 4.6 0 0
-60.75 94.5 7.0 94.5 89.28378410380506 -60.75 4.6 0 0
-60.75 103.5 7.0 103.5 89.28378410380506 -60.75 4.6 0 0
-60.75 112.5 7.0 112.5 89.28378410380506 -60.75 4.6 0 0
-60.75 121.5 7.0 121.5 89.28378410380506 -60.75 4.6 0 0
-60.75 130.5 7.0 130.5 89.28378410380506 -60.75 4.6 0 0
-60.75 139.5 7.0 139.5 89.28378410380506 -60.75 4.6 0 0
-60.75 148.5 7.0 148.5 89.28378410380506 -60.75 4.6 0 0
-60.75 157.5 7.0 157.5 89.28378410380506 -60.75 4.6 0 0
-60.75 166.5 7.0 166.5 89.28378410380506 -60.75 4.6 0 0
-60.75 175.5 7.0 175.5 89.28378410380506 -60.75 4.6 0 0
-60.75 184.5 7.0 184.5 89.28378410380506 -60.75 4.6 0 0
-60.75 193.5 7.0 193.5 83.54055022264492 -60.75 4.6 0 0
-60.75 202.5 7.0 202.5 80.64796494243684 -60.75 4.6 0 0
-60.75 211.5 7.0 211.5 77.73110100404344 -60.75 4.6 0 0
-60.75 220.5 7.0 220.5 74.7815448422298 -60.75 4.6 0 0
-60.75 229.5 7.0 229.5 73.29165628434475 -60.75 4.6 0 0
-60.75 238.5 7.0 238.5 71.790043135717 -60.75 4.6 0 0
-60.75 247.5 7.0 247.5 70.27536644129832 -60.75 4.6 0 0
-60.75 256.5 7.0 256.5 68.74619081464031 -60.75 4.6 0 0
-60.75 265.5 7.0 265.5 68.74619081464031 -60.75 4.6 0 0
-60.75 274.5 7.0 274.5 67.20096872811118 -60.75 4.6 0 0
-60.75 283.5 7.0 283.5 67.20096872811118 -60.75 4.6 0 0
-60.75 292.5 7.0 292.5 65.63802206002008 -60.75 4.6 0 0
-60.75 301.5 7.0 301.5 64.05552022763 -60.75 4.6 0 0
-60.75 310.5 7.0 310.5 64.05552022763 -60.75 4.6 0 0
-60.75 319.5 7.0 319.5 62.45145404051587 -60.75 4.6 0 0
-60.75 328.5 7.0 328.5 62.45145404051587 -60.75 4.6 0 0
-60.75 337.5 7.0 337.5 60.82360414498552 -60.75 4.6 0 0
-60.75 346.5 7.0 346.5 60.82360414498552 -60.75 4.6 0 0
-60.75 355.5 7.0 355.5 60.82360414498552 -60.75 4.6 0 0
-56.25 4.5 7.0 4.5 57.48638536677864 -56.25 4.6 0 0
-56.25 13.5 7.0 13.5 57.48638536677864 -56.25 4.6 0 0
-56.25 22.5 7.0 22.5 57.48638536677864 -56.25 4.6 0 0
-56.25 31.5 7.0 31.5 57.48638536677864 -56.25 4.6 0 0
-56.25 40.5 7.0 40.5 55.771133672187425 -56.25 4.6 0 0
-56.25 49.5 7.0 49.5 55.771133672187425 -56.25 4.6 0 0
-56.25 58.5 7.0 58.5 55.771133672187425 -56.25 4.6 0 0
-56.25 67.5 7.0 67.5 54.020199402525776 -56.25 4.6 0 0
-56.25 76.5 7.0 76.5 54.020199402525776 -56.25 4.6 0 0
-56.25 85.5 7.0 85.5 54.020199402525776 -56.25 4.6 0 0
-56.25 94.5 7.0 94.5 89.28378410380506 -56.25 4.6 0 0
-56.25 103.5 7.0 103.5 89.28378410380506 -56.25 4.6 0 0
-56.25 112.5 7.0 112.5 89.28378410380506 -56.25 4.6 0 0
-56.25 121.5 7.0 121.5 89.28378410380506 -56.25 4.6 0 0
