##lon lat depth strike dip slip mag 0 0
89.28378410380506 4.5 7.0 4.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 13.5 7.0 13.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 22.5 7.0 22.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 31.5 7.0 31.5 89.28378410380506 33.75 4.6 0 0
89.28378410380506 40.5 7.0 40.5 89.28378410380506 33.75 4.6 0 0
89.28378410380506 49.5 7.0 49.5 89.28378410380506 -6.75 4.6 0 0
89.28378410380506 58.5 7.0 58.5 89.28378410380506 -11.25 4.6 0 0
89.28378410380506 67.5 7.0 67.5 89.28378410380506 -11.25 4.6 0 0
89.28378410380506 76.5 7.0 76.5 89.28378410380506 -15.75 4.6 0 0
89.28378410380506 85.5 7.0 85.5 89.28378410380506 -15.75 4.6 0 0
89.28378410380506 94.5 7.0 94.5 89.28378410380506 -20.25 4.6 0 0
89.28378410380506 103.5 7.0 103.5 89.28378410380506 -20.25 4.6 0 0
89.28378410380506 112.5 7.0 112.5 89.28378410380506 -24.75 4.6 0 0
89.28378410380506 121.5 7.0 121.5 89.28378410380506 -24.75 4.6 0 0
89.28378410380506 130.5 7.0 130.5 89.28378410380506 -24.75 4.6 0 0
89.28378410380506 139.5 7.0 139.5 89.28378410380506 -24.75 4.6 0 0
89.28378410380506 148.5 7.0 148.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 157.5 7.0 157.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 166.5 7.0 166.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 175.5 7.0 175.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 184.5 7.0 184.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 193.5 7.0 193.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 202.5 7.0 202.5 89.28378410380506 -29.25 4.6 0 0
89.28378410380506 211.5 7.0 211.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 220.5 7.0 220.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 229.5 7.0 229.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 238.5 7.0 238.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 247.5 7.0 247.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 256.5 7.0 256.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 265.5 7.0 265.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 274.5 7.0 274.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 283.5 7.0 283.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 292.5 7.0 292.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 301.5 7.0 301.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 310.5 7.0 310.5 89.28378410380506 -33.75 4.6 0 0
89.28378410380506 319.5 7.0 319.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 328.5 7.0 328.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 337.5 7.0 337.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 346.5 7.0 346.5 89.28378410380506 38.25 4.6 0 0
89.28378410380506 355.5 7.0 355.5 89.28378410380506 38.25 4.6 0 0
87.85090437313598 4.5 7.0 4.5 87.85090437313598 15.75 4.6 0 0
87.85090437313598 13.5 7.0 13.5 87.85090437313598 15.75 4.6 0 0
87.85090437313598 22.5 7.0 22.5 87.85090437313598 15.75 4.6 0 0
87.85090437313598 31.5 7.0 31.5 87.85090437313598 11.25 4.6 0 0
87.85090437313598 40.5 7.0 40.5 87.85090437313598 11.25 4.6 0 0
87.85090437313598 49.5 7.0 49.5 87.85090437313598 11.25 4.6 0 0
87.85090437313598 58.5 7.0 58.5 87.85090437313598 6.75 4.6 0 0
87.85090437313598 67.5 7.0 67.5 87.85090437313598 6.75 4.6 0 0
87.85090437313598 76.5 7.0 76.5 87.85090437313598 2.25 4.6 0 0
87.85090437313598 85.5 7.0 85.5 87.85090437313598 2.25 4.6 0 0
87.85090437313598 94.5 7.0 94.5 87.85090437313598 -2.25 4.6 0 0
87.85090437313598 103.5 7.0 103.5 87.85090437313598 -2.25 4.6 0 0
87.85090437313598 112.5 7.0 112.5 87.85090437313598 -6.75 4.6 0 0
87.85090437313598 121.5 7.0 121.5 87.85090437313598 -11.25 4.6 0 0
87.85090437313598 130.5 7.0 130.5 87.85090437313598 -11.25 4.6 0 0
87.85090437313598 139.5 7.0 139.5 87.85090437313598 -15.75 4.6 0 0
87.85090437313598 148.5 7.0 148.5 87.85090437313598 -11.25 4.6 0 0
87.85090437313598 157.5 7.0 157.5 87.85090437313598 -15.75 4.6 0 0
87.85090437313598 166.5 7.0 166.5 87.85090437313598 -15.75 4.6 0 0
87.85090437313598 175.5 7.0 175.5 87.85090437313598 -15.75 4.6 0 0
87.85090437313598 184.5 7.0 184.5 87.85090437313598 -20.25 4.6 0 0
87.85090437313598 193.5 7.0 193.5 87.85090437313598 -20.25 4.6 0 0
87.85090437313598 202.5 7.0 202.5 87.85090437313598 -20.25 4.6 0 0
87.85090437313598 211.5 7.0 211.5 87.85090437313598 -24.75 4.6 0 0
87.85090437313598 220.5 7.0 220.5 87.85090437313598 -24.75 4.6 0 0
87.85090437313598 229.5 7.0 229.5 87.85090437313598 -24.75 4.6 0 0
87.85090437313598 238.5 7.0 238.5 87.85090437313598 -24.75 4.6 0 0
87.85090437313598 247.5 7.0 247.5 87.85090437313598 -24.75 4.6 0 0
